,datetime,code,price,quantity,info,value
77,2018-05-28 09:16:00,31May201826300PE,110.5,-25,First trade,2762.5
78,2018-05-28 10:25:00,31May201826300CE,230.45,25,stoploss breached,-5761.25
79,2018-05-28 10:25:00,31May201826300PE,64.95,25,stoploss breached,-1623.75
80,2018-05-29 09:16:00,31May201826600CE,58.05,-25,First trade,1451.25
81,2018-05-29 09:16:00,31May201826600PE,211.3,-25,First trade,5282.5
82,2018-05-29 12:06:00,31May201826600CE,46.35,25,stoploss breached,-1158.75
83,2018-05-29 12:06:00,31May201826600PE,250.35,25,stoploss breached,-6258.75
84,2018-06-01 09:18:00,07Jun201827000CE,139.0,-25,First trade,3475.0
85,2018-06-01 09:18:00,07Jun201827000PE,417.45,-25,First trade,10436.25
86,2018-06-01 15:15:00,07Jun201827000CE,120.75,25,End of Day reached,-3018.75
87,2018-06-01 15:15:00,07Jun201827000PE,424.9,25,End of day reached,-10622.5
88,2018-06-05 09:16:00,07Jun201826300CE,139.5,-25,First trade,3487.5
89,2018-06-05 09:16:00,07Jun201826300PE,281.0,-25,First trade,7025.0
90,2018-06-05 15:15:00,07Jun201826300CE,134.3,25,End of Day reached,-3357.5000000000005
91,2018-06-05 15:15:00,07Jun201826300PE,207.15,25,End of day reached,-5178.75
92,2018-06-06 09:16:00,07Jun201826300CE,146.5,-25,First trade,3662.5
93,2018-06-06 09:16:00,07Jun201826300PE,194.4,-25,First trade,4860.0
94,2018-06-06 15:15:00,07Jun201826300CE,136.7,25,End of Day reached,-3417.4999999999995
95,2018-06-06 15:15:00,07Jun201826300PE,66.8,25,End of day reached,-1670.0
96,2018-06-11 09:16:00,14Jun201826500CE,167.6,-25,First trade,4190.0
97,2018-06-11 09:16:00,14Jun201826500PE,209.15,-25,First trade,5228.75
98,2018-06-11 15:15:00,14Jun201826500CE,139.75,25,End of Day reached,-3493.75
99,2018-06-11 15:15:00,14Jun201826500PE,192.5,25,End of day reached,-4812.5
100,2018-06-12 09:16:00,14Jun201826600CE,122.9,-25,First trade,3072.5
101,2018-06-12 09:16:00,14Jun201826600PE,209.15,-25,First trade,5228.75
102,2018-06-12 15:15:00,14Jun201826600CE,135.1,25,End of Day reached,-3377.5
103,2018-06-12 15:15:00,14Jun201826600PE,163.25,25,End of day reached,-4081.25
104,2018-06-14 09:16:00,14Jun201826700CE,40.0,-25,First trade,1000.0
105,2018-06-14 09:16:00,14Jun201826700PE,164.2,-25,First trade,4105.0
106,2018-06-14 09:48:00,14Jun201826700CE,22.05,25,stoploss breached,-551.25
107,2018-06-14 09:48:00,14Jun201826700PE,186.7,25,stoploss breached,-4667.5
108,2018-06-15 09:16:00,21Jun201826600CE,152.05,-25,First trade,3801.2500000000005
109,2018-06-15 09:16:00,21Jun201826600PE,231.0,-25,First trade,5775.0
110,2018-06-15 13:16:00,21Jun201826600CE,82.85,25,stoploss breached,-2071.25
111,2018-06-15 13:16:00,21Jun201826600PE,339.85,25,stoploss breached,-8496.25
112,2018-06-18 09:16:00,21Jun201826500CE,98.1,-25,First trade,2452.5
113,2018-06-18 09:16:00,21Jun201826500PE,241.7,-25,First trade,6042.5
114,2018-06-18 15:15:00,21Jun201826500CE,93.65,25,End of Day reached,-2341.25
115,2018-06-18 15:15:00,21Jun201826500PE,215.1,25,End of day reached,-5377.5
116,2018-06-19 09:16:00,21Jun201826500CE,64.45,-25,First trade,1611.25
117,2018-06-19 09:16:00,21Jun201826500PE,260.0,-25,First trade,6500.0
118,2018-06-19 14:29:00,21Jun201826500CE,37.25,25,stoploss breached,-931.25
119,2018-06-19 14:29:00,21Jun201826500PE,323.7,25,stoploss breached,-8092.5
120,2018-06-20 09:16:00,21Jun201826400CE,81.15,-25,First trade,2028.7500000000002
121,2018-06-20 09:16:00,21Jun201826400PE,157.7,-25,First trade,3942.4999999999995
122,2018-06-20 14:43:00,21Jun201826400CE,185.5,25,stoploss breached,-4637.5
123,2018-06-20 14:43:00,21Jun201826400PE,30.7,25,stoploss breached,-767.5
124,2018-06-22 09:16:00,28Jun201826600CE,110.1,-25,First trade,2752.5
125,2018-06-22 09:16:00,28Jun201826600PE,259.1,-25,First trade,6477.500000000001
126,2018-06-22 15:15:00,28Jun201826600CE,272.95,25,End of Day reached,-6823.75
127,2018-06-22 15:15:00,28Jun201826600PE,83.15,25,End of day reached,-2078.75
128,2018-06-25 09:16:00,28Jun201826800CE,119.0,-25,First trade,2975.0
129,2018-06-25 09:16:00,28Jun201826800PE,199.95,-25,First trade,4998.75
130,2018-06-25 14:46:00,28Jun201826800CE,71.15,25,stoploss breached,-1778.7500000000002
131,2018-06-25 14:46:00,28Jun201826800PE,282.9,25,stoploss breached,-7072.499999999999
132,2018-06-27 09:16:00,28Jun201826700CE,59.75,-25,First trade,1493.75
133,2018-06-27 09:16:00,28Jun201826700PE,183.75,-25,First trade,4593.75
134,2018-06-27 09:31:00,28Jun201826700CE,54.45,25,stoploss breached,-1361.25
135,2018-06-27 09:31:00,28Jun201826700PE,213.9,25,stoploss breached,-5347.5
136,2018-06-28 09:16:00,28Jun201826400CE,73.8,-25,First trade,1845.0
137,2018-06-28 09:16:00,28Jun201826400PE,73.7,-25,First trade,1842.5
138,2018-06-28 09:25:00,28Jun201826400CE,67.25,25,stoploss breached,-1681.25
139,2018-06-28 09:25:00,28Jun201826400PE,95.7,25,stoploss breached,-2392.5
140,2018-06-29 09:15:00,05Jul201826400CE,173.25,-25,First trade,4331.25
141,2018-06-29 09:15:00,05Jul201826400PE,217.25,-25,First trade,5431.25
142,2018-06-29 15:15:00,05Jul201826400CE,171.75,25,End of Day reached,-4293.75
143,2018-06-29 15:15:00,05Jul201826400PE,179.25,25,End of day reached,-4481.25
144,2018-07-02 09:15:00,05Jul201826400CE,138.95,-25,First trade,3473.7499999999995
