,datetime,code,price,quantity,info,value
67,2018-05-17 11:45:00,17May201826200PE,97.25,25,stoploss breached pnl: -14.999999999999773,-2431.25
68,2018-05-18 09:16:00,24May201826000CE,188.5,-25,pnl: 0,4712.5
69,2018-05-18 09:16:00,24May201826000PE,188.25,-25,pnl: 0,4706.25
70,2018-05-18 15:15:00,24May201826000CE,125.25,25,End of Day reached pnl: 100.0,-3131.25
71,2018-05-18 15:15:00,24May201826000PE,247.5,25,End of day reached pnl: 100.0,-6187.5
72,2018-05-21 09:16:00,24May201826000CE,141.9,-25,pnl: 0,3547.5
73,2018-05-21 09:16:00,24May201826000PE,192.6,-25,pnl: 0,4815.0
74,2018-05-21 10:39:00,24May201826000CE,86.5,25,stoploss breached pnl: -871.2500000000009,-2162.5
75,2018-05-21 10:39:00,24May201826000PE,282.85,25,stoploss breached pnl: -871.2500000000009,-7071.250000000001
76,2018-05-22 09:16:00,24May201825800CE,162.8,-25,pnl: 0,4070.0000000000005
77,2018-05-22 09:16:00,24May201825800PE,113.9,-25,pnl: 0,2847.5
78,2018-05-22 15:15:00,24May201825800CE,119.0,25,End of Day reached pnl: 1251.2500000000005,-2975.0
79,2018-05-22 15:15:00,24May201825800PE,107.65,25,End of day reached pnl: 1251.2500000000005,-2691.25
80,2018-05-23 09:16:00,24May201825700CE,147.25,-25,pnl: 0,3681.25
81,2018-05-23 09:16:00,24May201825700PE,82.65,-25,pnl: 0,2066.25
82,2018-05-23 15:15:00,24May201825700CE,44.35,25,End of Day reached pnl: 2166.25,-1108.75
83,2018-05-23 15:15:00,24May201825700PE,98.9,25,End of day reached pnl: 2166.25,-2472.5
84,2018-05-24 09:16:00,24May201825700CE,43.0,-25,pnl: 0,1075.0
85,2018-05-24 09:16:00,24May201825700PE,63.0,-25,pnl: 0,1575.0
86,2018-05-24 12:41:00,24May201825700CE,66.5,25,stoploss breached pnl: 457.5,-1662.5
87,2018-05-24 12:41:00,24May201825700PE,21.2,25,stoploss breached pnl: 457.5,-530.0
88,2018-05-25 09:16:00,31May201826100CE,122.45,-25,pnl: 0,3061.25
89,2018-05-25 09:16:00,31May201826100PE,209.55,-25,pnl: 0,5238.75
90,2018-05-25 15:15:00,31May201826100CE,212.3,25,End of Day reached pnl: 725.0,-5307.5
91,2018-05-25 15:15:00,31May201826100PE,90.7,25,End of day reached pnl: 725.0,-2267.5
92,2018-05-28 09:16:00,31May201826300CE,155.2,-25,pnl: 0,3879.9999999999995
93,2018-05-28 09:16:00,31May201826300PE,110.5,-25,pnl: 0,2762.5
94,2018-05-28 10:25:00,31May201826300CE,230.45,25,stoploss breached pnl: -742.5000000000005,-5761.25
95,2018-05-28 10:25:00,31May201826300PE,64.95,25,stoploss breached pnl: -742.5000000000005,-1623.75
96,2018-05-29 09:16:00,31May201826600CE,58.05,-25,pnl: 0,1451.25
97,2018-05-29 09:16:00,31May201826600PE,211.3,-25,pnl: 0,5282.5
98,2018-05-29 12:06:00,31May201826600CE,46.35,25,stoploss breached pnl: -683.75,-1158.75
99,2018-05-29 12:06:00,31May201826600PE,250.35,25,stoploss breached pnl: -683.75,-6258.75
100,2018-05-30 09:16:00,31May201826000CE,118.65,-25,pnl: 0,2966.25
101,2018-05-30 09:16:00,31May201826000PE,112.55,-25,pnl: 0,2813.75
102,2018-05-30 09:55:00,31May201826000CE,174.45,25,stoploss breached pnl: -653.75,-4361.25
103,2018-05-30 09:55:00,31May201826000PE,82.9,25,stoploss breached pnl: -653.75,-2072.5
104,2018-05-31 09:16:00,31May201826600CE,57.15,-25,pnl: 0,1428.75
105,2018-05-31 09:16:00,31May201826600PE,152.6,-25,pnl: 0,3815.0
106,2018-05-31 09:24:00,31May201826600CE,29.05,25,stoploss breached pnl: -576.25,-726.25
107,2018-05-31 09:24:00,31May201826600PE,203.75,25,stoploss breached pnl: -576.25,-5093.75
108,2018-06-01 09:16:00,07Jun201826900CE,147.2,-25,pnl: 0,3679.9999999999995
109,2018-06-01 09:16:00,07Jun201826900PE,383.05,-25,pnl: 0,9576.25
110,2018-06-01 15:15:00,07Jun201826900CE,148.35,25,End of Day reached pnl: 606.2499999999995,-3708.75
111,2018-06-01 15:15:00,07Jun201826900PE,357.65,25,End of day reached pnl: 606.2499999999995,-8941.25
112,2018-06-04 09:16:00,07Jun201827000CE,136.2,-25,pnl: 0,3404.9999999999995
113,2018-06-04 09:16:00,07Jun201827000PE,341.75,-25,pnl: 0,8543.75
114,2018-06-04 09:27:00,07Jun201827000CE,112.75,25,stoploss breached pnl: -1271.2500000000005,-2818.75
115,2018-06-04 09:27:00,07Jun201827000PE,416.05,25,stoploss breached pnl: -1271.2500000000005,-10401.25
116,2018-06-05 09:16:00,07Jun201826300CE,139.5,-25,pnl: 0,3487.5
117,2018-06-05 09:16:00,07Jun201826300PE,281.0,-25,pnl: 0,7025.0
118,2018-06-05 15:15:00,07Jun201826300CE,134.3,25,End of Day reached pnl: 1976.2499999999995,-3357.5000000000005
119,2018-06-05 15:15:00,07Jun201826300PE,207.15,25,End of day reached pnl: 1976.2499999999995,-5178.75
120,2018-06-06 09:16:00,07Jun201826300CE,146.5,-25,pnl: 0,3662.5
121,2018-06-06 09:16:00,07Jun201826300PE,194.4,-25,pnl: 0,4860.0
122,2018-06-06 15:15:00,07Jun201826300CE,136.7,25,End of Day reached pnl: 3435.0000000000005,-3417.4999999999995
123,2018-06-06 15:15:00,07Jun201826300PE,66.8,25,End of day reached pnl: 3435.0000000000005,-1670.0
124,2018-06-07 09:16:00,07Jun201826600CE,60.0,-25,pnl: 0,1500.0
125,2018-06-07 09:16:00,07Jun201826600PE,150.05,-25,pnl: 0,3751.2500000000005
126,2018-06-07 10:43:00,07Jun201826600CE,134.0,25,stoploss breached pnl: 988.7500000000005,-3350.0
127,2018-06-07 10:43:00,07Jun201826600PE,36.5,25,stoploss breached pnl: 988.7500000000005,-912.5
128,2018-06-08 09:16:00,14Jun201826500CE,150.55,-25,pnl: 0,3763.7500000000005
129,2018-06-08 09:16:00,14Jun201826500PE,244.05,-25,pnl: 0,6101.25
130,2018-06-08 09:35:00,14Jun201826500CE,122.85,25,stoploss breached pnl: -1056.2499999999995,-3071.25
131,2018-06-08 09:35:00,14Jun201826500PE,314.0,25,stoploss breached pnl: -1056.2499999999995,-7850.0
132,2018-06-11 09:16:00,14Jun201826500CE,167.6,-25,pnl: 0,4190.0
133,2018-06-11 09:16:00,14Jun201826500PE,209.15,-25,pnl: 0,5228.75
